4648044	gbm	वे की मदद कारा।	\N	2015-10-27 12:20:36	2016-08-07 07:37:34
4648046	gbm	मि तुम दगडी छौं।	\N	2015-10-27 12:21:11	2016-08-07 07:37:33
4648047	gbm	गुस्सा नि कारा हो।	\N	2015-10-27 12:21:48	2016-08-07 07:37:32
4648049	gbm	यु सच नि च।	\N	2015-10-27 12:22:24	2016-08-07 07:37:30
4648050	gbm	मि सहमत नि छौं।	\N	2015-10-27 12:22:54	2016-08-07 07:37:28
4648052	gbm	मि नि कैरी सकदु।	\N	2015-10-27 12:23:41	2016-08-07 07:37:27
4648054	gbm	मि तै पता नीच।	\N	2015-10-27 12:24:49	2016-08-07 07:37:22
4648061	gbm	इ मेरि कितबि छन।	\N	2015-10-27 12:28:43	2016-08-07 07:37:21
4648062	gbm	वु क्या च?	\N	2015-10-27 12:29:58	2016-08-07 07:37:20
4648065	gbm	वु क्या छन?	\N	2015-10-27 12:30:56	2016-08-07 07:37:19
4648070	gbm	यु तुमरु घौर च।	\N	2015-10-27 12:32:57	2016-08-07 07:37:16
4648072	gbm	यु वेकु घौर च।	\N	2015-10-27 12:33:39	2016-08-07 07:37:15
4674592	gbm	डारा न।	\N	2015-11-04 06:12:29	2016-08-07 07:37:13
4674595	gbm	मि तै तुम पर गर्व च।	\N	2015-11-04 06:13:19	2016-08-07 07:37:11
4674601	gbm	मि तै भूक लगीं च।	\N	2015-11-04 06:17:03	2016-08-07 07:37:12
4674603	gbm	मि तै एक कप कॉफी द्या।	\N	2015-11-04 06:18:25	2016-08-07 07:37:09
4674606	gbm	तैयार व्हे जावा।	\N	2015-11-04 06:19:56	2016-08-07 07:37:05
4674608	gbm	जरा ठैरी जावा।	\N	2015-11-04 06:21:04	2016-08-07 07:37:03
4674611	gbm	वापिस आ जावा।	\N	2015-11-04 06:21:28	2016-08-07 07:37:02
4674612	gbm	इनै आवा।	\N	2015-11-04 06:21:54	2016-08-07 07:37:01
4674614	gbm	इनै आवा!	\N	2015-11-04 06:22:06	2016-08-07 07:37:00
4674615	gbm	वे तै उठा द्या।	\N	2015-11-04 06:22:42	2016-08-07 07:36:59
4674616	gbm	जबाब द्या!	\N	2015-11-04 06:23:01	2016-08-07 07:36:58
4674618	gbm	मि तै देखणी द्या।	\N	2015-11-04 06:23:32	2016-08-07 07:36:57
4674620	gbm	मि तै माफ़ करि द्या!	\N	2015-11-04 06:24:01	2016-08-07 07:36:55
4674621	gbm	मितै माफ़ करि द्या।	\N	2015-11-04 06:24:12	2016-08-07 07:36:54
4674623	gbm	खिड़की खोलि दियां।	\N	2015-11-04 06:24:56	2016-08-07 07:36:47
4674624	gbm	जरा सी खिड़की खोलि दियां।	\N	2015-11-04 06:25:06	2016-08-07 07:36:48
4674625	gbm	भौत भौत शुक्रिया!	\N	2015-11-04 06:26:28	2016-08-07 07:36:45
4674626	gbm	भौत भौत शुक्रिया।	\N	2015-11-04 06:26:36	2016-08-07 07:36:44
4674628	gbm	नै साल की शुभकामनाए!	\N	2015-11-04 06:29:29	2016-08-07 07:36:42
4674737	gbm	भितर ए जा।	\N	2015-11-04 08:29:28	2016-08-07 07:36:40
4674739	gbm	कन छा तुम?	\N	2015-11-04 08:30:48	2016-08-07 07:36:39
4674741	gbm	मि ठीक छौं।	\N	2015-11-04 08:31:08	2016-08-07 07:36:38
4674743	gbm	तुम तै मीली ख़ुशी व्हाई।	\N	2015-11-04 08:31:34	2016-08-07 07:36:37
4674744	gbm	शुभ रात्रि।	\N	2015-11-04 08:32:50	2016-08-07 07:36:36
